Source,Target,Weight,Season
BELLE,DAVID,,5
BELLE,EMMA,,5
BELLE,HENRY,,5
BELLE,REGINA,,5
BELLE,RUMPLE,,5
BELLE,SNOW,,5
BELLE,HOOK,,5
BELLE,PAN,,5
BELLE,ZELENA,,5
BELLE,PINOCCHIO,,5
BELLE,JIMINY,,5
BELLE,HUNTSMAN,,5
BELLE,RUBY,,5
BELLE,MIRROR,,5
BELLE,GRANNY,,5
BELLE,GRUMPY,,5
BELLE,GEORGE,,5
BELLE,ABIGAIL,,5
BELLE,CINDERELLA,,5
BELLE,THOMAS,,5
BELLE,WHALE,,5
BELLE,GEPPETTO,,5
BELLE,BLUE,,5
BELLE,JEFFERSON,,5
BELLE,MALEFICENT,,5
BELLE,PRINCE_HENRY,,5
BELLE,KING,,5
BELLE,MARTIN,,5
BELLE,MYRNA,,5
BELLE,RUTH,,5
BELLE,MIDAS,,5
BELLE,ZOSO,,5
BELLE,BEALFIRE,,5
BELLE,HORDOR,,5
BELLE,BLIND_WITCH,,5
BELLE,HANSEL,,5
BELLE,GRETEL,,5
BELLE,WOODCUTTER,,5
BELLE,THATCHER,,5
BELLE,STEALTHY,,5
BELLE,LEOPOLD,,5
BELLE,MAURICE,,5
BELLE,NOVA,,5
BELLE,TOMKINS,,5
BELLE,PETER,,5
BELLE,DANIEL,,5
BELLE,CORA,,5
BELLE,AURORA,,5
BELLE,MULAN,,5
BELLE,PRINCE_PHILIP,,5
BELLE,WRAITH,,5
BELLE,LANCELOT,,5
BELLE,MILAH,,5
BELLE,SMEE,,5
BELLE,IGOR,,5
BELLE,VICTOR_FRANKENSTEIN,,5
BELLE,ANTON,,5
BELLE,ANITA_LUCAS,,5
BELLE,QUINN,,5
BELLE,CLAUDE,,5
BELLE,GREG_MENDELL,,5
BELLE,ALPHONSE_FRANKENSTEIN,,5
BELLE,GERHARDT_FRANKENSTEIN,,5
BELLE,ABRAHAM,,5
BELLE,ARLO,,5
BELLE,JACK,,5
BELLE,SEER,,5
BELLE,QUEEN_EVA,,5
BELLE,JOHANNA,,5
BELLE,TAMARA,,5
BELLE,KING_XAVIER,,5
BELLE,KURT_FLYNN,,5
BELLE,THE_DRAGON,,5
BELLE,SHERIFF_OF_NOTTINGHAM,,5
BELLE,MARIAN,,5
BELLE,ROBIN_HOOD,,5
BELLE,JOHN_DARLING,,5
BELLE,MICHAEL_DARLING,,5
BELLE,THE_SHADOW,,5
BELLE,WENDY,,5
BELLE,FELIX,,5
BELLE,TINKER_BELL,,5
BELLE,LIAM,,5
BELLE,DEVIN,,5
BELLE,ARIEL,,5
BELLE,URSULA,,5
BELLE,PRINCE_ERIC,,5
