Source,Target,Weight,Season
HENRY,EMMA,"1.000,00","1,00"
RUMPLE,BELLE,"1.000,00","1,00"
HENRY,REGINA,"1.000,00","1,00"
HENRY,SNOW,"800,00","1,00"
HENRY,DAVID,"800,00","1,00"
SNOW,DAVID,"800,00","1,00"
EMMA,SNOW,"600,00","1,00"
EMMA,DAVID,"600,00","1,00"
EMMA,REGINA,"500,00","1,00"
SNOW,REGINA,"500,00","1,00"
RUMPLE,REGINA,"400,00","1,00"
HENRY,RUMPLE,"400,00","1,00"
EMMA,RUMPLE,"300,00","1,00"
SNOW,RUMPLE,"300,00","1,00"
BELLE,REGINA,"300,00","1,00"
HENRY,BELLE,"200,00","1,00"
EMMA,BELLE,"100,00","1,00"
SNOW,BELLE,"100,00","1,00"
DAVID,RUMPLE,"100,00","1,00"
DAVID,BELLE,"100,00","1,00"
DAVID,REGINA,"100,00","1,00"
