Id,Label
BELLE,Belle
DAVID,Charming
EMMA,Emma
HENRY,Henry
REGINA,Evil Queen
RUMPLE,Rumplestiltskin
SNOW,Snow White
HOOK,Hook
PAN,Pan
ZELENA,Zelena
PINOCCHIO,Pinocchio
JIMINY,Jiminy Cricket
HUNTSMAN,Huntsman
RUBY,Red Riding Hood
MIRROR,Magic Mirror
GRANNY,Granny
GRUMPY,Grumpy
GEORGE,King George
ABIGAIL,Abigail
CINDERELLA,Cinderella
THOMAS,Prince Thomas
WHALE,Dr. Whale
GEPPETTO,Geppetto
BLUE,Blue Fairy
JEFFERSON,Jefferson
MALEFICENT,Maleficent
PRINCE_HENRY,Prince Henry
KING,The King (Cinderella)
MARTIN,Martin
MYRNA,Myrna
RUTH,Ruth
MIDAS,King Midas
ZOSO,Zoso
BEALFIRE,Bealfire
HORDOR,Hordor
BLIND_WITCH,Blind Witch
HANSEL,Hansel
GRETEL,Gretel
WOODCUTTER,Woodcutter
THATCHER,Dr. Thatcher
STEALTHY,Steathy
LEOPOLD,King Leopold
MAURICE,Sir Maurice
NOVA,Nova
TOMKINS,Mayor Tomkins
PETER,Peter
DANIEL,Daniel
CORA,Cora
AURORA,Aurora
MULAN,Mulan
PRINCE_PHILIP,Prince Philip
WRAITH,Wraith
LANCELOT,Lancelot
MILAH,Milah
SMEE,Smee
IGOR,Igor
VICTOR_FRANKENSTEIN,Victor Frankenstein
ANTON,Anton
ANITA_LUCAS,Anita Lucas
QUINN,Quinn
CLAUDE,Claude 
GREG_MENDELL,Greg Mendell
ALPHONSE_FRANKENSTEIN,Alphonse Frankenstein
GERHARDT_FRANKENSTEIN,Gerhardt Frankenstein
ABRAHAM,Abraham
ARLO,Arlo
JACK,Jack
SEER,Seer
QUEEN_EVA,Queen Eva
JOHANNA,Johanna
TAMARA,Tamara
KING_XAVIER,King Xavier
KURT_FLYNN,Kurt Flynn
THE_DRAGON,The Dragon
SHERIFF_OF_NOTTINGHAM,Sheriff of Nottingham
MARIAN,Marian
ROBIN_HOOD,Robin Hood
JOHN_DARLING,John Darling
MICHAEL_DARLING,Michael Darling
THE_SHADOW,The Shadow
WENDY,Wendy Darling
FELIX,Felix 
TINKER_BELL,Tinker Bell
LIAM,Liam
DEVIN,Devin
ARIEL,Ariel
URSULA,Ursula
PRINCE_ERIC,Prince Eric
ADOPTION_AGENT,Adoption Agent
MALCOLM,Malcolm
SHADOW,Shadow
WALSH,Walsh
RAPUNZEL,Rapunzel
LUMIERE,Lumiere
BLACK_BEARD,Black Beard
JONATHAN,Jonathan
PRINCE_LEOPOLD,Prince Leopold
GLINDA,Glinda
DOROTHY,Dorothy
ANNA,Anna
GERDA,Gerda
GRAND_PABBIE,Grand Pabbie
KRISTOFF,Kristoff
SVEN,Sven
BO_PEEP,Bo Peep
INGRID,Ingrid
HANS,Hans
WILL_SCARLET,Will Scarlet
APPRENTICE,Apprentice
LILY_PAGE,Lily Page
LILYS_ADOPTIVE_FATHER,Lily's Adoptive Father
COLETTE,Colette
DUKE_OF_WESELTON,Duke of Weselton
HELGA,Helga
MADAME_FAUSTINA,Madame Faustina
CRUELLA_DE_VIL,Cruella De Vil
KING_STEFAN,King Stefan
POSEIDON,Poseidon
ISAAC_HELLER,Isaac Heller
MADELINE,Madeline
MERLIN,Merlin
KING_ARTHUR,King Arthur
SIR_KAY,Sir Kay
MERIDA,Merida
PERCIVAL,Percival
GUINEVERE,Guinevere
VIOLET_MORGAN,Violet Morgan
GRIF,Grif
SIR_HANK_MORGAN,Sir Hank Morgan
NIMUE,Nimue
LORD_MACINTOSH,Lord Macintosh
VORTIGAN,Vortigan
QUEEN_ELINOR,Queen Elinor
KING_FERGUS,King Fergus
WITCH,Witch
BRENNAN_JONES,Brennan Jones
LIAM,Liam
HADES,Hades
HERCULES,Hercules
MEGARA,Megara
FENDRAKE_THE_HEALER,Fendrake the Healer
CAPTAIN_SILVER,Captain Silver
CLEO_FOX,Cleo Fox
ZEUS,Zeus
DR_JEKYLL,Dr Jekyll
ORDERLY,Orderly
MR_HYDE,Mr Hyde
EVIL_QUEEN_SERUM,Evil Queen Serum
