ID,Label
BELLE,Belle
DAVID,Charming
EMMA,Emma
HENRY,Henry
REGINA,Evil Queen
RUMPLE,Rumplestiltskin
SNOW,Snow White
PINOCCHIO,Pinocchio
JIMINY,Jiminy Cricket
HUNTSMAN,Huntsman
RUBY,Red Riding Hood
MIRROR,Magic Mirror
GRANNY,Granny
GRUMPY,Grumpy
GEORGE,King George
ABIGAIL,Abigail
CINDERELLA,Cinderella
THOMAS,Prince Thomas
WHALE,Dr. Whale
GEPPETTO,Geppetto
BLUE,Blue Fairy
JEFFERSON,Jefferson
MALEFICENT,Maleficent
PRINCE_HENRY,Prince Henry
KING,The King (Cinderella)
MARTIN,Martin
MYRNA,Myrna
RUTH,Ruth
MIDAS,King Midas
ZOSO,Zoso
BEALFIRE,Bealfire
HORDOR,Hordor
BLIND_WITCH,Blind Witch
HANSEL,Hansel
GRETEL,Gretel
WOODCUTTER,Woodcutter
THATCHER,Dr. Thatcher
STEALTHY,Steathy
LEOPOLD,King Leopold
MAURICE,Sir Maurice
NOVA,Nova
TOMKINS,Mayor Tomkins
PETER,Peter
DANIEL,Daniel
CORA,Cora
